Date,State,Confirmed,Tested,Probability
2020-05-04,Andaman and Nicobar Islands,33,3754.0,0.008790623335109217
2020-05-04,Andhra Pradesh,1650,125229.0,0.013175861821143664
2020-05-04,Arunachal Pradesh,1,869.0,0.0011507479861910242
2020-05-04,Assam,43,12775.0,0.003365949119373777
2020-05-04,Bihar,528,28345.0,0.018627623919562533
2020-05-04,Chandigarh,102,1678.0,0.060786650774731825
2020-05-04,Chhattisgarh,58,19902.0,0.0029142799718621243
2020-05-04,Delhi,4898,64108.0,0.07640232108317214
2020-05-04,Dadra and Nagar Haveli and Daman and Diu,0,4434.0,0.0
2020-05-04,Goa,7,2899.0,0.002414625733011383
2020-05-04,Gujarat,5804,84648.0,0.06856629808146678
2020-05-04,Himachal Pradesh,41,7430.0,0.005518169582772544
2020-05-04,Haryana,517,38183.0,0.013540057093470916
2020-05-04,Jharkhand,115,13832.0,0.008314054366685945
2020-05-04,Jammu and Kashmir,726,28199.0,0.025745593815383525
2020-05-04,Karnataka,651,79193.0,0.00822042352228101
2020-05-04,Kerala,500,35441.0,0.014107954064501566
2020-05-04,Ladakh,42,2639.0,0.015915119363395226
2020-05-04,Maharashtra,14541,168374.0,0.08636131469229216
2020-05-04,Meghalaya,12,1884.0,0.006369426751592357
2020-05-04,Manipur,2,571.0,0.0035026269702276708
2020-05-04,Madhya Pradesh,2942,52095.0,0.056473749880026874
2020-05-04,Mizoram,1,183.0,0.00546448087431694
2020-05-04,Nagaland,0,708.0,0.0
2020-05-04,Odisha,169,41128.0,0.004109122738766777
2020-05-04,Punjab,1232,28545.0,0.04315992292870906
2020-05-04,Puducherry,9,3281.0,0.0027430661383724473
2020-05-04,Rajasthan,3061,129258.0,0.023681319531479676
2020-05-04,Sikkim,0,170.0,0.0
2020-05-04,Telangana,1085,19278.0,0.05628177196804648
2020-05-04,Tamil Nadu,3550,162970.0,0.02178315027305639
2020-05-04,Tripura,30,5394.0,0.0055617352614015575
2020-05-04,Uttar Pradesh,2766,98300.0,0.028138351983723296
2020-05-04,Uttarakhand,60,7806.0,0.007686395080707148
2020-05-04,West Bengal,1259,25116.0,0.050127408823061
2020-05-05,Andaman and Nicobar Islands,33,3754.0,0.008790623335109217
2020-05-05,Andhra Pradesh,1717,133492.0,0.012862193989152908
2020-05-05,Arunachal Pradesh,1,970.0,0.0010309278350515464
2020-05-05,Assam,45,13442.0,0.0033477161136735603
2020-05-05,Bihar,535,28791.0,0.01858219582508423
2020-05-05,Chandigarh,119,1713.0,0.0694687682428488
2020-05-05,Chhattisgarh,59,21323.0,0.002766965248792384
2020-05-05,Delhi,5104,67852.0,0.07522254318222013
2020-05-05,Dadra and Nagar Haveli and Daman and Diu,1,4781.0,0.00020916126333403055
2020-05-05,Goa,7,3096.0,0.0022609819121447027
2020-05-05,Gujarat,6245,89632.0,0.06967377722242056
2020-05-05,Himachal Pradesh,42,7893.0,0.005321170657544659
2020-05-05,Haryana,548,40982.0,0.013371724171587527
2020-05-05,Jharkhand,125,15064.0,0.008297928836962294
2020-05-05,Jammu and Kashmir,741,31312.0,0.02366504854368932
2020-05-05,Karnataka,673,83806.0,0.008030451280337924
2020-05-05,Kerala,503,36312.0,0.013852170081515753
2020-05-05,Ladakh,42,2639.0,0.015915119363395226
2020-05-05,Maharashtra,15525,175323.0,0.08855084615252991
2020-05-05,Meghalaya,12,1944.0,0.006172839506172839
2020-05-05,Manipur,2,571.0,0.0035026269702276708
2020-05-05,Madhya Pradesh,3049,54595.0,0.0558476050920414
2020-05-05,Mizoram,1,188.0,0.005319148936170213
2020-05-05,Nagaland,0,724.0,0.0
2020-05-05,Odisha,177,44663.0,0.003963011889035667
2020-05-05,Punjab,1451,30199.0,0.048047948607569786
2020-05-05,Puducherry,9,3560.0,0.0025280898876404493
2020-05-05,Rajasthan,3158,134987.0,0.023394845429559885
2020-05-05,Sikkim,0,181.0,0.0
2020-05-05,Telangana,1096,19278.0,0.05685237057786077
2020-05-05,Tamil Nadu,4058,174828.0,0.02321138490401995
2020-05-05,Tripura,43,5850.0,0.007350427350427351
2020-05-05,Uttar Pradesh,2880,105234.0,0.02736758081988711
